SECCION_CO,LOTES,PREDIOS,UCensales,RazonUnidx,DifUC_Pred
05001300101,667,806,1285,1.6,479.0
05001300102,41,44,90,2.0,46.0
05001300103,469,519,820,1.6,301.0
05001300104,17,15,122,8.1,107.0
05001300105,323,344,678,2.0,334.0
05001300106,332,412,542,1.3,130.0
05001300107,323,390,571,1.5,181.0
05001300108,221,236,314,1.3,78.0
05001300109,19,22,26,1.2,4.0
05001300110,250,278,456,1.6,178.0
05001300111,40,45,61,1.4,16.0
05001300112,11,13,11,0.8,-2.0
05001300113,26,25,28,1.1,3.0
05001300114,82,97,199,2.1,102.0
05001300115,19,18,76,4.2,58.0
05001300116,21,22,69,3.1,47.0
05001300117,30,36,71,2.0,35.0
05001300118,32,32,106,3.3,74.0
05001300119,106,117,253,2.2,136.0
05001300120,63,83,333,4.0,250.0
05001300121,114,121,343,2.8,222.0
05001300122,134,139,270,1.9,131.0
05001300201,66,71,118,1.7,47.0
05001300202,289,336,591,1.8,255.0
05001300203,879,1099,1942,1.8,843.0
05001300204,322,401,834,2.1,433.0
05001300205,88,106,173,1.6,67.0
05001300206,872,1285,3399,2.6,2114.0
05001300208,41,57,63,1.1,6.0
05001300209,9,9,9,1.0,0.0
05001300210,16,19,29,1.5,10.0
05001300211,183,208,291,1.4,83.0
05001300212,243,369,467,1.3,98.0
05001300213,65,74,136,1.8,62.0
05001300214,50,58,95,1.6,37.0
05001300215,45,54,147,2.7,93.0
05001300216,352,784,1830,2.3,1046.0
05001300217,173,201,609,3.0,408.0
05001300301,165,185,381,2.1,196.0
05001300302,476,700,1868,2.7,1168.0
05001300303,452,541,985,1.8,444.0
05001300304,1297,1515,2331,1.5,816.0
05001300306,74,452,289,0.6,-163.0
05001300307,13,16,45,2.8,29.0
05001300308,39,327,221,0.7,-106.0
05001300309,157,244,397,1.6,153.0
05001300310,73,83,61,0.7,-22.0
05001300311,94,101,95,0.9,-6.0
05001300312,306,365,345,0.9,-20.0
05002300101,287,287,339,1.2,52.0
05002300102,221,221,263,1.2,42.0
05002300103,263,263,308,1.2,45.0
05002300104,221,221,246,1.1,25.0
05002300105,171,171,191,1.1,20.0
05002300106,202,202,264,1.3,62.0
05002300201,453,454,555,1.2,101.0
05002300202,293,293,372,1.3,79.0
05002300203,562,562,721,1.3,159.0
05002300204,401,401,469,1.2,68.0
05002300205,212,210,255,1.2,45.0
05002300206,155,155,188,1.2,33.0
05002300301,375,374,472,1.3,98.0
05002300302,106,106,140,1.3,34.0
05002300303,701,700,901,1.3,201.0
05002300401,440,442,657,1.5,215.0
05002300402,405,405,536,1.3,131.0
05002300403,283,283,500,1.8,217.0
05002300501,564,563,773,1.4,210.0
05002300502,295,295,369,1.3,74.0
05002300503,200,200,241,1.2,41.0
05002300504,452,452,735,1.6,283.0
05002300505,223,223,320,1.4,97.0
05002300506,216,214,248,1.2,34.0
05004300101,20,19,45,2.4,26.0
05004300102,70,69,149,2.2,80.0
05004300103,17,16,31,1.9,15.0
05004300104,30,30,36,1.2,6.0
05004300105,85,85,91,1.1,6.0
05004300201,124,124,275,2.2,151.0
05004300202,61,61,122,2.0,61.0
05004300203,156,156,160,1.0,4.0
05004300204,79,79,106,1.3,27.0
05004300301,72,72,87,1.2,15.0
05004300302,24,23,34,1.5,11.0
05004300303,31,31,42,1.4,11.0
05004300304,38,38,44,1.2,6.0
05004300305,18,18,20,1.1,2.0
05021300101,274,274,331,1.2,57.0
05021300102,334,334,415,1.2,81.0
05021300103,292,292,380,1.3,88.0
05021300104,360,360,427,1.2,67.0
05021300105,182,182,262,1.4,80.0
05021300106,52,52,58,1.1,6.0
05030300101,852,848,1332,1.6,484.0
05030300102,2116,1917,4154,2.2,2237.0
05030300103,714,1295,1461,1.1,166.0
05030300104,1541,1994,3244,1.6,1250.0
05031300101,6,6,5,0.8,-1.0
05031300102,10,10,29,2.9,19.0
05031300103,40,40,146,3.7,106.0
05031300104,30,30,213,7.1,183.0
05031300201,39,39,135,3.5,96.0
05031300202,32,32,75,2.3,43.0
05031300203,66,66,98,1.5,32.0
05031300204,68,68,82,1.2,14.0
05031300205,91,91,182,2.0,91.0
05031300301,1,1,2,2.0,1.0
05031300302,22,22,56,2.5,34.0
05031300303,5,5,42,8.4,37.0
05031300304,14,14,20,1.4,6.0
05031300305,11,11,9,0.8,-2.0
05031300401,65,65,97,1.5,32.0
05031300402,69,69,84,1.2,15.0
05031300403,35,35,63,1.8,28.0
05031300404,32,32,33,1.0,1.0
05031300405,89,89,143,1.6,54.0
05031300406,92,92,131,1.4,39.0
05031300502,3,3,10,3.3,7.0
05031300503,2,2,11,5.5,9.0
05031300504,26,26,62,2.4,36.0
05031300601,41,41,57,1.4,16.0
05031300602,80,80,115,1.4,35.0
05031300603,28,28,64,2.3,36.0
05031300604,43,43,82,1.9,39.0
05031300605,23,23,43,1.9,20.0
05031300701,46,46,110,2.4,64.0
05031300702,119,119,179,1.5,60.0
05031300703,106,106,140,1.3,34.0
05031300704,43,43,49,1.1,6.0
05031300801,208,207,291,1.4,84.0
05031300802,151,151,259,1.7,108.0
05031300803,25,25,30,1.2,5.0
05031300804,50,50,82,1.6,32.0
05031300901,48,48,72,1.5,24.0
05031300902,27,27,31,1.1,4.0
05031300903,53,53,103,1.9,50.0
05031300904,97,95,170,1.8,75.0
05031300905,65,64,153,2.4,89.0
05031301001,57,57,65,1.1,8.0
05031301002,57,57,70,1.2,13.0
05031301003,19,19,20,1.1,1.0
05031301004,148,148,216,1.5,68.0
05031301005,176,176,223,1.3,47.0
05031301006,49,49,98,2.0,49.0
05031301007,31,31,62,2.0,31.0
05031301101,88,88,123,1.4,35.0
05031301102,23,23,69,3.0,46.0
05031301103,127,127,183,1.4,56.0
05031301104,71,71,145,2.0,74.0
05031301105,142,142,218,1.5,76.0
05034300101,610,503,779,1.5,276.0
05034300102,494,483,793,1.6,310.0
05034300103,1164,1185,1809,1.5,624.0
05034300104,785,633,850,1.3,217.0
05034300201,840,829,1586,1.9,757.0
05034300202,716,760,1381,1.8,621.0
05034300203,943,934,1546,1.7,612.0
05034300301,765,751,1106,1.5,355.0
05034300302,344,284,483,1.7,199.0
05034300303,463,433,708,1.6,275.0
05034300304,59,59,98,1.7,39.0
05034300305,58,57,88,1.5,31.0
05034300401,1,1,1,1.0,0.0
05034300402,602,455,833,1.8,378.0
05034300404,1,1,2,2.0,1.0
05034300405,3,3,3,1.0,0.0
05034300406,1,1,36,36.0,35.0
05034300502,18,18,58,3.2,40.0
05034300503,1016,688,1127,1.6,439.0
05034300505,163,161,366,2.3,205.0
05036300101,67,67,156,2.3,89.0
05036300102,505,503,1041,2.1,538.0
05036300103,762,756,1473,1.9,717.0
05038300101,299,299,653,2.2,354.0
05038300102,614,614,956,1.6,342.0
05038300103,184,184,276,1.5,92.0
05038300104,182,182,244,1.3,62.0
05038300105,202,202,345,1.7,143.0
05038300201,346,346,490,1.4,144.0
05038300202,528,528,861,1.6,333.0
05038300203,386,385,527,1.4,142.0
05038300204,46,46,60,1.3,14.0
05038300205,28,28,26,0.9,-2.0
05038300206,109,109,120,1.1,11.0
05038300207,44,44,52,1.2,8.0
05038300301,62,62,87,1.4,25.0
05038300302,5,5,5,1.0,0.0
05038300303,299,307,498,1.6,191.0
05038300304,106,106,174,1.6,68.0
05040300102,5,5,9,1.8,4.0
05040300103,1,1,3,3.0,2.0
05040300104,19,19,27,1.4,8.0
05040300106,8,8,10,1.3,2.0
05040300202,4,4,8,2.0,4.0
05040300203,4,4,11,2.8,7.0
05040300204,5,5,8,1.6,3.0
05040300205,8,8,20,2.5,12.0
05040300301,20,20,29,1.5,9.0
05040300303,11,11,14,1.3,3.0
05040300304,1,1,6,6.0,5.0
05040300305,24,24,34,1.4,10.0
05040300307,3,3,3,1.0,0.0
05040300308,2,2,1,0.5,-1.0
05040300309,3,3,15,5.0,12.0
05040300401,279,279,460,1.6,181.0
05040300402,18,18,34,1.9,16.0
05040300403,6,6,17,2.8,11.0
05040300404,7,7,12,1.7,5.0
05040300405,13,13,34,2.6,21.0
05040300501,7,7,6,0.9,-1.0
05040300502,16,16,28,1.8,12.0
05040300503,24,24,48,2.0,24.0
05040300601,43,43,61,1.4,18.0
05040300602,36,36,88,2.4,52.0
05040300603,54,54,135,2.5,81.0
05040300604,39,39,63,1.6,24.0
05040300605,39,39,100,2.6,61.0
05040300701,49,49,137,2.8,88.0
05040300702,33,33,54,1.6,21.0
05040300703,39,39,67,1.7,28.0
05040300704,14,14,21,1.5,7.0
05040300705,39,39,50,1.3,11.0
05040300801,31,31,79,2.5,48.0
05040300802,12,12,62,5.2,50.0
05040300803,20,20,25,1.3,5.0
05040300804,30,30,67,2.2,37.0
05040300805,39,39,64,1.6,25.0
05040300901,38,38,166,4.4,128.0
05040300902,34,34,143,4.2,109.0
05040300903,44,44,112,2.5,68.0
05040300904,49,49,58,1.2,9.0
05040301001,81,81,91,1.1,10.0
05040301002,44,44,58,1.3,14.0
05040301003,62,62,43,0.7,-19.0
05040301004,16,16,23,1.4,7.0
05040301005,36,36,51,1.4,15.0
05040301006,32,32,35,1.1,3.0
05040301101,81,81,171,2.1,90.0
05040301102,69,69,252,3.7,183.0
05040301103,179,179,336,1.9,157.0
05040301104,118,118,212,1.8,94.0
05040301105,93,93,142,1.5,49.0
05040301201,141,141,314,2.2,173.0
05040301202,86,86,212,2.5,126.0
05040301203,35,35,39,1.1,4.0
05040301204,231,231,467,2.0,236.0
05040301205,142,142,384,2.7,242.0
05040301206,53,53,55,1.0,2.0
05040301301,170,170,241,1.4,71.0
05040301302,140,140,220,1.6,80.0
05042300101,173,173,290,1.7,117.0
05042300102,181,181,239,1.3,58.0
05042300103,302,302,451,1.5,149.0
05042300104,131,131,195,1.5,64.0
05042300105,183,183,226,1.2,43.0
05042300106,51,51,52,1.0,1.0
05042300107,136,136,190,1.4,54.0
05042300108,213,213,233,1.1,20.0
05042300201,216,512,316,0.6,-196.0
05042300202,158,171,219,1.3,48.0
05042300203,748,1236,977,0.8,-259.0
05042300204,166,598,618,1.0,20.0
05042300205,281,471,352,0.7,-119.0
05042300301,169,169,244,1.4,75.0
05042300302,38,38,51,1.3,13.0
05042300303,197,197,288,1.5,91.0
05042300304,617,617,687,1.1,70.0
05042300305,368,368,326,0.9,-42.0
05042300401,563,563,892,1.6,329.0
05042300402,347,347,532,1.5,185.0
05042300403,93,144,120,0.8,-24.0
05042300404,122,122,191,1.6,69.0
05042300405,62,113,142,1.3,29.0
05042300406,70,70,134,1.9,64.0
05044300101,23,23,76,3.3,53.0
05044300102,61,61,225,3.7,164.0
05044300103,65,65,154,2.4,89.0
05044300104,283,283,591,2.1,308.0
05044300105,263,263,518,2.0,255.0
05044300106,168,168,344,2.0,176.0
05044300107,140,140,129,0.9,-11.0
05044300108,126,126,215,1.7,89.0
05044300109,323,323,627,1.9,304.0
05044300110,359,359,697,1.9,338.0
05044300111,121,121,241,2.0,120.0
05045300101,176,176,476,2.7,300.0
05045300102,107,107,144,1.3,37.0
05045300103,957,960,1102,1.1,142.0
05045300106,7,7,44,6.3,37.0
05045300201,55,55,61,1.1,6.0
05045300202,4,4,52,13.0,48.0
05045300203,1724,1781,2726,1.5,945.0
05045300204,31,31,41,1.3,10.0
05045300205,624,624,788,1.3,164.0
05045300301,413,681,802,1.2,121.0
05045300302,176,176,504,2.9,328.0
05045300303,87,87,122,1.4,35.0
05045300304,187,201,278,1.4,77.0
05045300305,106,106,161,1.5,55.0
05045300306,56,56,106,1.9,50.0
05045300401,37,37,89,2.4,52.0
05045300402,66,66,152,2.3,86.0
05045300403,27,27,31,1.1,4.0
05045300404,18,18,43,2.4,25.0
05045300405,55,55,80,1.5,25.0
05045300406,22,22,30,1.4,8.0
05045300407,79,79,63,0.8,-16.0
05045300501,312,313,375,1.2,62.0
05045300502,86,86,143,1.7,57.0
05045300503,301,301,632,2.1,331.0
05045300504,128,128,151,1.2,23.0
05045300505,69,69,89,1.3,20.0
05045300506,57,57,67,1.2,10.0
05051300101,77,76,125,1.6,49.0
05051300102,422,421,1039,2.5,618.0
05051300103,523,523,685,1.3,162.0
05051300104,109,109,203,1.9,94.0
05051300105,15,15,31,2.1,16.0
05051300106,1,1,35,35.0,34.0
05051300201,89,88,148,1.7,60.0
05051300202,72,72,149,2.1,77.0
05051300203,112,112,160,1.4,48.0
05051300204,131,130,199,1.5,69.0
05051300205,189,188,284,1.5,96.0
05051300206,14,12,19,1.6,7.0
05051300301,336,335,532,1.6,197.0
05051300302,306,306,515,1.7,209.0
05051300303,99,99,157,1.6,58.0
05051300304,82,81,129,1.6,48.0
05051300305,114,114,240,2.1,126.0
05051300401,166,166,315,1.9,149.0
05051300402,107,107,250,2.3,143.0
05051300403,108,108,193,1.8,85.0
05051300404,123,123,273,2.2,150.0
05051300501,61,61,100,1.6,39.0
05051300502,88,88,172,2.0,84.0
05051300503,44,44,69,1.6,25.0
05051300504,86,86,178,2.1,92.0
05051300601,46,46,49,1.1,3.0
05051300602,113,113,252,2.2,139.0
05051300603,73,73,157,2.2,84.0
05051300604,139,139,345,2.5,206.0
05051300605,29,29,51,1.8,22.0
05051300606,66,66,102,1.5,36.0
05051300701,60,60,128,2.1,68.0
05051300702,98,98,175,1.8,77.0
05051300703,103,103,155,1.5,52.0
05051300704,95,95,191,2.0,96.0
05051300705,126,126,195,1.5,69.0
05055300101,150,150,188,1.3,38.0
05055300102,308,308,378,1.2,70.0
05055300103,218,218,312,1.4,94.0
05055300201,466,465,672,1.4,207.0
05055300202,224,224,361,1.6,137.0
05055300203,479,479,619,1.3,140.0
05055300204,205,205,278,1.4,73.0
05055300205,130,130,150,1.2,20.0
05055300206,275,274,372,1.4,98.0
05055300301,105,105,117,1.1,12.0
05055300302,46,46,53,1.2,7.0
05055300303,27,27,50,1.9,23.0
05059300101,8,8,38,4.8,30.0
05059300102,211,211,339,1.6,128.0
05059300103,338,338,561,1.7,223.0
05059300104,27,27,70,2.6,43.0
05059300105,725,726,1145,1.6,419.0
05079300101,785,797,1789,2.2,992.0
05079300102,603,678,1007,1.5,329.0
05079300103,133,133,253,1.9,120.0
05079300104,276,280,492,1.8,212.0
05079300105,438,442,628,1.4,186.0
05079300106,168,168,306,1.8,138.0
05079300107,92,92,162,1.8,70.0
05079300109,48,48,91,1.9,43.0
05079300110,242,242,361,1.5,119.0
05079300112,215,215,402,1.9,187.0
05079300113,201,201,284,1.4,83.0
05079300114,57,57,100,1.8,43.0
05079300115,356,356,476,1.3,120.0
05079300116,183,183,332,1.8,149.0
05079300117,97,97,150,1.5,53.0
05079300118,191,191,366,1.9,175.0
05079300119,311,311,524,1.7,213.0
05079300120,282,284,406,1.4,122.0
05079300201,216,216,348,1.6,132.0
05079300202,94,94,249,2.6,155.0
05079300203,144,144,517,3.6,373.0
05079300204,252,253,422,1.7,169.0
05079300205,739,754,1331,1.8,577.0
05079300206,178,178,291,1.6,113.0
05079300207,126,126,197,1.6,71.0
05079300208,122,122,172,1.4,50.0
05079300209,44,44,73,1.7,29.0
05079300210,99,99,126,1.3,27.0
05079300211,87,87,130,1.5,43.0
05079300212,309,311,377,1.2,66.0
05079300213,139,139,206,1.5,67.0
05079300214,215,215,255,1.2,40.0
05079300215,124,124,170,1.4,46.0
05079300216,184,184,264,1.4,80.0
05079300217,264,263,450,1.7,187.0
05079300218,124,124,146,1.2,22.0
05079300219,301,302,420,1.4,118.0
05079300220,318,323,443,1.4,120.0
05079300221,401,404,610,1.5,206.0
05079300222,360,362,591,1.6,229.0
05086300101,54,54,92,1.7,38.0
05086300102,139,139,156,1.1,17.0
05086300103,28,28,49,1.8,21.0
05086300104,191,191,321,1.7,130.0
05086300105,73,73,100,1.4,27.0
05086300201,13,13,20,1.5,7.0
05086300202,11,11,17,1.5,6.0
05086300203,5,5,6,1.2,1.0
05086300204,24,24,29,1.2,5.0
05086300301,229,230,260,1.1,30.0
05086300302,88,88,118,1.3,30.0
05086300303,325,325,381,1.2,56.0
05086300304,380,380,486,1.3,106.0
05086300305,535,535,686,1.3,151.0
05088300101,80,85,49,0.6,-36.0
05088300102,247,259,437,1.7,178.0
05088300103,165,170,234,1.4,64.0
05088300104,20,31,24,0.8,-7.0
05088300105,127,127,180,1.4,53.0
05088300106,220,220,365,1.7,145.0
05088300107,14,14,28,2.0,14.0
05088300108,85,85,102,1.2,17.0
05088300109,175,175,221,1.3,46.0
05088300201,162,208,207,1.0,-1.0
05088300202,94,94,124,1.3,30.0
05088300203,68,68,113,1.7,45.0
05088300204,255,261,4878,18.7,4617.0
05088300205,326,332,598,1.8,266.0
05088300206,433,460,643,1.4,183.0
05088300207,152,152,226,1.5,74.0
05088300208,128,128,171,1.3,43.0
05088300209,163,163,220,1.3,57.0
05088300210,41,41,62,1.5,21.0
05088300211,29,29,216,7.4,187.0
05088300212,8,8,21,2.6,13.0
05088300213,55,296,223,0.8,-73.0
05088300214,74,74,145,2.0,71.0
05088300215,186,195,295,1.5,100.0
05088300216,90,90,432,4.8,342.0
05091300101,434,434,921,2.1,487.0
05091300102,210,210,359,1.7,149.0
05091300103,1,1,3,3.0,2.0
05091300201,171,171,433,2.5,262.0
05091300202,464,465,769,1.7,304.0
05091300203,408,407,746,1.8,339.0
05091300204,354,354,566,1.6,212.0
05091300205,14,14,16,1.1,2.0
05093300101,521,521,975,1.9,454.0
05093300102,374,372,643,1.7,271.0
05093300103,564,562,1003,1.8,441.0
05093300104,782,813,1439,1.8,626.0
05093300105,34,34,46,1.4,12.0
05093300201,386,374,813,2.2,439.0
05093300202,214,213,448,2.1,235.0
05093300203,248,248,524,2.1,276.0
05093300204,458,510,582,1.1,72.0
05093300301,266,279,452,1.6,173.0
05093300302,130,130,274,2.1,144.0
05093300303,60,60,97,1.6,37.0
05093300304,29,29,55,1.9,26.0
05101300101,165,165,305,1.8,140.0
05101300103,360,360,489,1.4,129.0
05101300104,409,439,652,1.5,213.0
05101300201,361,363,532,1.5,169.0
05101300202,299,303,449,1.5,146.0
05101300203,30,30,57,1.9,27.0
05101300204,72,72,104,1.4,32.0
05101300205,474,466,794,1.7,328.0
05101300206,16,16,59,3.7,43.0
05101300301,362,362,552,1.5,190.0
05101300302,139,139,234,1.7,95.0
05101300303,301,301,471,1.6,170.0
05101300304,549,551,849,1.5,298.0
05101300305,91,173,155,0.9,-18.0
05107300101,80,80,149,1.9,69.0
05107300102,178,179,321,1.8,142.0
05107300103,101,101,145,1.4,44.0
05107300104,84,84,118,1.4,34.0
05107300105,49,49,69,1.4,20.0
05107300201,170,170,363,2.1,193.0
05107300202,106,106,150,1.4,44.0
05107300203,222,222,402,1.8,180.0
05107300204,47,47,55,1.2,8.0
05107300205,139,139,220,1.6,81.0
05107300301,95,95,144,1.5,49.0
05107300302,90,90,92,1.0,2.0
05107300303,32,32,53,1.7,21.0
05107300304,175,173,249,1.4,76.0
05107300401,94,94,106,1.1,12.0
05107300402,69,69,90,1.3,21.0
05107300403,62,62,84,1.4,22.0
05107300404,42,42,65,1.5,23.0
05113300101,13,13,17,1.3,4.0
05113300102,12,12,30,2.5,18.0
05113300103,134,134,152,1.1,18.0
05113300104,52,52,94,1.8,42.0
05113300105,138,138,206,1.5,68.0
05113300201,82,82,185,2.3,103.0
05113300202,96,96,143,1.5,47.0
05113300203,139,133,280,2.1,147.0
05113300204,142,142,271,1.9,129.0
05113300205,112,109,222,2.0,113.0
05113300206,20,20,31,1.6,11.0
05113300301,176,176,228,1.3,52.0
05113300302,525,508,674,1.3,166.0
05113300303,126,126,163,1.3,37.0
05113300304,609,603,988,1.6,385.0
05113300305,13,13,50,3.8,37.0
05113300306,144,135,247,1.8,112.0
05120300102,9,9,18,2.0,9.0
05120300103,1,1,3,3.0,2.0
05120300104,61,61,45,0.7,-16.0
05120300105,24,24,24,1.0,0.0
05120300106,4,4,12,3.0,8.0
05120300201,161,161,250,1.6,89.0
05120300202,7,7,14,2.0,7.0
05120300203,9,9,10,1.1,1.0
05120300204,39,38,28,0.7,-10.0
05120300205,33,33,29,0.9,-4.0
05120300206,375,374,515,1.4,141.0
05120300301,12,12,17,1.4,5.0
05120300302,11,11,22,2.0,11.0
05120300303,19,19,14,0.7,-5.0
05120300304,2,2,16,8.0,14.0
05120300305,1783,1720,2958,1.7,1238.0
05120300306,72,72,52,0.7,-20.0
05120300401,4,4,23,5.8,19.0
05120300402,73,73,198,2.7,125.0
05120300403,14,14,22,1.6,8.0
05120300404,18,18,25,1.4,7.0
05120300501,12,12,22,1.8,10.0
05120300502,10,10,13,1.3,3.0
05120300503,32,32,66,2.1,34.0
05120300504,17,17,10,0.6,-7.0
05120300505,7,7,15,2.1,8.0
05120300601,11,11,8,0.7,-3.0
05120300602,15,15,10,0.7,-5.0
05120300603,6,6,2,0.3,-4.0
05120300604,2,2,2,1.0,0.0
05120300605,27,27,116,4.3,89.0
05120300701,4,4,3,0.8,-1.0
05120300702,646,645,832,1.3,187.0
05120300703,22,22,55,2.5,33.0
05120300704,44,44,108,2.5,64.0
05120300705,32,32,134,4.2,102.0
05120300706,65,65,84,1.3,19.0
05120300801,1083,948,1467,1.5,519.0
05120300802,33,33,108,3.3,75.0
05120300803,9,9,9,1.0,0.0
05120300804,18,18,21,1.2,3.0
05120300805,27,27,43,1.6,16.0
05120300806,29,29,48,1.7,19.0
05120300807,146,146,84,0.6,-62.0
05120300901,22,22,21,1.0,-1.0
05120300902,45,45,37,0.8,-8.0
05120300903,20,20,15,0.8,-5.0
05120300904,25,25,71,2.8,46.0
05120301001,25,25,25,1.0,0.0
05120301002,34,34,57,1.7,23.0
05120301003,29,29,100,3.4,71.0
05120301004,19,19,17,0.9,-2.0
05120301101,26,26,23,0.9,-3.0
05120301102,38,38,44,1.2,6.0
05120301103,69,69,52,0.8,-17.0
05120301104,57,57,77,1.4,20.0
05120301105,19,19,26,1.4,7.0
05120301201,18,18,29,1.6,11.0
05120301202,29,29,30,1.0,1.0
05120301203,45,45,87,1.9,42.0
05120301204,30,30,43,1.4,13.0
05120301205,37,37,96,2.6,59.0
05120301301,13,13,32,2.5,19.0
05120301302,32,32,166,5.2,134.0
05120301303,49,49,203,4.1,154.0
05120301304,40,40,96,2.4,56.0
05120301401,15,15,27,1.8,12.0
05120301501,20,20,33,1.7,13.0
05120301502,15,15,48,3.2,33.0
05120301503,7,7,27,3.9,20.0
05120301504,17,17,16,0.9,-1.0
05120301606,1,1,80,80.0,79.0
05120301702,1,1,13,13.0,12.0
05120301703,6,6,68,11.3,62.0
05120301801,1,1,10,10.0,9.0
05125300101,29,29,36,1.2,7.0
05125300102,137,137,275,2.0,138.0
05125300103,53,53,73,1.4,20.0
05125300104,377,377,731,1.9,354.0
05125300105,383,382,697,1.8,315.0
05125300201,113,113,200,1.8,87.0
05125300202,236,235,312,1.3,77.0
05125300203,465,464,702,1.5,238.0
05125300204,351,351,479,1.4,128.0
05129300101,826,948,2057,2.2,1109.0
05129300102,537,550,982,1.8,432.0
05129300103,55,55,215,3.9,160.0
05129300104,252,258,666,2.6,408.0
05129300105,11,11,22,2.0,11.0
05129300106,278,310,1426,4.6,1116.0
05129300107,32,32,55,1.7,23.0
05129300108,106,107,225,2.1,118.0
05129300109,97,97,71,0.7,-26.0
05129300110,147,167,98,0.6,-69.0
05129300111,13,13,36,2.8,23.0
05129300112,8,8,13,1.6,5.0
05129300113,48,48,66,1.4,18.0
05129300114,2,2,6,3.0,4.0
05129300115,12,12,65,5.4,53.0
05129300116,2,2,4,2.0,2.0
05129300117,3,3,214,71.3,211.0
05129300118,21,21,19,0.9,-2.0
05129300119,45,45,102,2.3,57.0
05129300120,135,135,279,2.1,144.0
05129300121,174,175,293,1.7,118.0
05129300122,16,16,17,1.1,1.0
05129300123,159,159,348,2.2,189.0
05129300124,99,132,158,1.2,26.0
05129300125,101,100,192,1.9,92.0
05134300101,86,86,98,1.1,12.0
05134300102,146,146,188,1.3,42.0
05134300103,149,149,219,1.5,70.0
05134300104,339,339,690,2.0,351.0
05134300201,214,214,380,1.8,166.0
05134300202,105,105,216,2.1,111.0
05134300203,563,563,932,1.7,369.0
05134300204,176,176,338,1.9,162.0
05134300205,243,243,392,1.6,149.0
05138300101,558,558,725,1.3,167.0
05138300102,466,474,494,1.0,20.0
05138300103,410,408,525,1.3,117.0
05138300104,77,77,85,1.1,8.0
05138300201,220,220,304,1.4,84.0
05138300202,533,1028,611,0.6,-417.0
05138300203,698,698,977,1.4,279.0
05138300301,265,265,322,1.2,57.0
05138300302,368,368,437,1.2,69.0
05138300303,650,651,936,1.4,285.0
05138300304,610,610,763,1.3,153.0
05138300305,116,116,126,1.1,10.0
05138300401,11,11,15,1.4,4.0
05138300402,270,321,365,1.1,44.0
05138300403,36,36,44,1.2,8.0
05138300404,321,321,334,1.0,13.0
05138300405,11,11,2,0.2,-9.0
05142300101,79,79,139,1.8,60.0
05142300102,225,225,438,1.9,213.0
05142300103,84,84,148,1.8,64.0
05142300201,44,44,67,1.5,23.0
05142300202,23,23,42,1.8,19.0
05142300203,17,17,30,1.8,13.0
05142300204,47,47,52,1.1,5.0
05142300301,48,48,68,1.4,20.0
05142300302,48,48,74,1.5,26.0
05142300303,28,28,42,1.5,14.0
05142300304,24,24,37,1.5,13.0
05142300305,7,7,29,4.1,22.0
05145300101,264,264,314,1.2,50.0
05145300102,468,468,609,1.3,141.0
05145300103,801,804,1083,1.3,279.0
05145300104,859,858,1182,1.4,324.0
05147300101,40,40,32,0.8,-8.0
05147300102,72,72,118,1.6,46.0
05147300103,167,167,391,2.3,224.0
05147300104,751,751,1254,1.7,503.0
05147300105,67,67,123,1.8,56.0
05147300106,392,392,451,1.2,59.0
05147300107,500,500,1491,3.0,991.0
05147300108,365,365,656,1.8,291.0
05147300109,404,404,296,0.7,-108.0
05147300110,400,476,954,2.0,478.0
05147300111,100,100,28,0.3,-72.0
05147300112,382,382,379,1.0,-3.0
05147300113,71,71,79,1.1,8.0
05147300114,81,78,196,2.5,118.0
05147300115,143,143,129,0.9,-14.0
05147300116,84,84,104,1.2,20.0
05147300117,1,1,1,1.0,0.0
05148300101,1591,1932,3146,1.6,1214.0
05148300102,1267,1267,2004,1.6,737.0
05148300103,2131,2287,3531,1.5,1244.0
05148300104,1129,1128,1769,1.6,641.0
05148300105,1034,1030,1557,1.5,527.0
05148300106,255,252,389,1.5,137.0
05148300201,648,646,846,1.3,200.0
05148300202,295,294,390,1.3,96.0
05148300203,132,132,154,1.2,22.0
05148300204,120,119,135,1.1,16.0
05148300205,129,128,139,1.1,11.0
05148300206,350,345,445,1.3,100.0
05148300301,66,66,74,1.1,8.0
05148300302,16,16,20,1.3,4.0
05148300303,79,78,95,1.2,17.0
05148300401,78,77,108,1.4,31.0
05148300402,66,66,80,1.2,14.0
05148300403,82,82,103,1.3,21.0
05148300404,88,82,158,1.9,76.0
05150300101,5,5,13,2.6,8.0
05150300102,114,112,147,1.3,35.0
05150300103,142,141,185,1.3,44.0
05150300104,171,170,229,1.3,59.0
05150300202,2,2,15,7.5,13.0
05150300203,47,47,63,1.3,16.0
05150300204,116,115,128,1.1,13.0
05154300101,15,15,29,1.9,14.0
05154300102,11,11,19,1.7,8.0
05154300103,34,34,50,1.5,16.0
05154300104,9,9,12,1.3,3.0
05154300105,79,79,188,2.4,109.0
05154300106,18,18,37,2.1,19.0
05154300201,25,25,38,1.5,13.0
05154300202,33,33,30,0.9,-3.0
05154300203,18,18,21,1.2,3.0
05154300204,17,17,18,1.1,1.0
05154300205,41,41,101,2.5,60.0
05154300206,40,39,73,1.9,34.0
05154300207,21,21,50,2.4,29.0
05154300208,29,28,72,2.6,44.0
05154300301,27,27,106,3.9,79.0
05154300302,24,24,312,13.0,288.0
05154300303,60,58,138,2.4,80.0
05154300304,46,46,82,1.8,36.0
