SECCION_CO,LOTES,PREDIOS,UCensales,RazonUnidx,DifUC_Pred
54385300402,64,64,68,1.1,4.0
54385300403,114,118,158,1.3,40.0
54385300404,165,183,246,1.3,63.0
54385300501,95,101,184,1.8,83.0
54385300502,79,94,174,1.9,80.0
54385300503,51,51,62,1.2,11.0
54385300504,472,535,836,1.6,301.0
54385300505,90,91,145,1.6,54.0
54385300506,58,58,95,1.6,37.0
54385300507,77,77,105,1.4,28.0
54398300101,46,48,133,2.8,85.0
54398300102,82,94,208,2.2,114.0
54398300103,84,85,175,2.1,90.0
54398300104,175,173,340,2.0,167.0
54398300201,108,109,215,2.0,106.0
54398300202,266,271,433,1.6,162.0
54398300203,229,245,380,1.6,135.0
54398300204,232,235,337,1.4,102.0
54398300301,148,156,282,1.8,126.0
54398300302,66,66,153,2.3,87.0
54398300303,164,166,317,1.9,151.0
54398300304,71,71,158,2.2,87.0
54405300101,28,37,81,2.2,44.0
54405300102,138,167,209,1.3,42.0
54405300103,40,54,56,1.0,2.0
54405300104,788,10902,917,0.1,-9985.0
54405300105,39,39,61,1.6,22.0
54405300106,67,76,78,1.0,2.0
54405300107,43,297,32,0.1,-265.0
54405300108,48,72,39,0.5,-33.0
54405300109,13,15,21,1.4,6.0
54405300110,9,9,19,2.1,10.0
54405300111,2,2,9,4.5,7.0
54405300112,8,9,23,2.6,14.0
54405300113,381,413,79,0.2,-334.0
54405300114,114,121,125,1.0,4.0
54405300115,54,54,82,1.5,28.0
54405300116,11,11,14,1.3,3.0
54405300117,42,646,86,0.1,-560.0
54405300118,27,30,40,1.3,10.0
54405300119,32,32,46,1.4,14.0
54405300120,6,6,20,3.3,14.0
54405300121,27,27,41,1.5,14.0
54418300101,201,204,247,1.2,43.0
54418300102,109,110,128,1.2,18.0
54418300103,376,407,233,0.6,-174.0
54418300104,168,170,213,1.3,43.0
54480300101,326,329,376,1.1,47.0
54480300102,204,208,296,1.4,88.0
54480300103,385,398,468,1.2,70.0
54480300104,392,406,399,1.0,-7.0
54480300201,54,53,62,1.2,9.0
54480300202,30,30,32,1.1,2.0
54480300203,309,329,365,1.1,36.0
54480300204,70,70,82,1.2,12.0
54498300103,20,20,36,1.8,16.0
54498300104,36,36,59,1.6,23.0
54498300105,333,335,455,1.4,120.0
54498300106,87,87,114,1.3,27.0
54498300201,179,185,283,1.5,98.0
54498300202,128,131,183,1.4,52.0
54498300204,318,397,634,1.6,237.0
54498300301,60,62,96,1.5,34.0
54498300302,84,85,138,1.6,53.0
54498300303,147,151,181,1.2,30.0
54498300304,46,45,70,1.6,25.0
54498300401,473,2013,505,0.3,-1508.0
54498300403,1330,1570,539,0.3,-1031.0
54498300405,269,316,379,1.2,63.0
54498300501,140,144,192,1.3,48.0
54498300503,68,69,59,0.9,-10.0
54498300504,82,84,131,1.6,47.0
54498300505,191,223,363,1.6,140.0
54498300510,55,58,136,2.3,78.0
54498300511,25,25,48,1.9,23.0
54498300512,50,50,75,1.5,25.0
54498300601,65,68,98,1.4,30.0
54498300602,83,695,232,0.3,-463.0
54498300603,469,524,335,0.6,-189.0
54498300604,70,94,111,1.2,17.0
54498300605,72,81,140,1.7,59.0
54518300101,221,221,250,1.1,29.0
54518300102,58,58,71,1.2,13.0
54518300103,202,202,207,1.0,5.0
